index,sigmas,mu
2044,0.0,-327.93588
2045,0.0,-327.93588
2046,1.0284,-327.2839
2047,1.0284,-327.2839
2048,1.0284,-327.2839
2049,0.0,-324.6761
2050,0.0,-324.6761
2051,0.0,-324.6761
2052,0.0,-324.6761
2053,0.0,-324.6761
2054,0.0,-324.6761
2055,0.0,-324.6761
2056,0.0,-324.6761
2057,0.0,-324.6761
2058,0.0,-324.6761
2059,0.0,-324.6761
2060,0.0,-324.6761
2061,0.0,-324.6761
2062,0.0,-324.6761
2063,0.0,-324.6761
2064,0.0,-324.6761
2065,0.20568,-327.93588
2066,0.20568,-327.93588
2067,0.20568,-327.93588
2068,0.20568,-327.93588
2069,1.13124,-323.37216
2070,2.46816,-322.7202
2071,2.46816,-322.7202
2072,2.26248,-322.7202
2073,2.26248,-322.7202
2074,2.0568,-325.32803
2075,2.0568,-325.32803
2076,2.571,-324.0241
2077,2.15964,-327.93588
2078,3.0852,-324.6761
2079,3.0852,-324.6761
2080,3.18804,-324.0241
2081,3.18804,-324.0241
2082,3.18804,-327.93588
2083,3.18804,-327.93588
2084,3.18804,-327.93588
2085,2.26248,-323.37216
2086,2.26248,-323.37216
2087,3.0852,-324.0241
2088,3.0852,-324.0241
2089,3.29088,-324.6761
2090,3.29088,-324.6761
2091,6.1704,-324.6761
2092,6.1704,-324.6761
2093,6.1704,-324.6761
2094,6.1704,-324.6761
2095,6.1704,-324.6761
2096,6.1704,-324.6761
2097,6.6846,-328.58783
2098,4.93632,-322.7202
2099,4.93632,-322.7202
2100,4.93632,-322.7202
2101,7.81584,-319.4604
2102,6.47892,-329.2398
2103,6.47892,-329.2398
2104,6.47892,-329.2398
2105,6.47892,-329.2398
2106,6.47892,-329.2398
2107,6.47892,-329.2398
2108,6.47892,-329.2398
2109,7.91868,-320.11237
2110,7.91868,-320.11237
2111,7.91868,-320.11237
2112,7.91868,-320.11237
2113,7.91868,-320.11237
2114,9.7698,-322.06824
2115,9.7698,-322.06824
2116,9.7698,-322.06824
2117,8.33004,-324.6761
2118,8.33004,-324.6761
2119,8.33004,-324.6761
2120,8.33004,-324.6761
2121,8.33004,-324.6761
2122,8.02152,-329.2398
2123,8.02152,-329.2398
2124,8.02152,-329.2398
2125,8.02152,-329.2398
2126,7.91868,-324.6761
2127,7.91868,-324.6761
2128,7.91868,-324.6761
2129,7.91868,-324.6761
2130,8.84424,-321.4163
2131,8.84424,-321.4163
2132,8.84424,-321.4163
2133,8.84424,-321.4163
2134,8.7414,-325.32803
2135,10.18116,-324.0241
2136,10.18116,-324.0241
2137,9.7698,-326.63196
2138,10.18116,-324.0241
2139,10.18116,-326.63196
2140,10.18116,-326.63196
2141,10.18116,-326.63196
2142,10.18116,-320.7643
2143,7.61016,-330.54373
2144,6.58176,-329.89175
2145,6.58176,-329.89175
2146,6.58176,-329.89175
2147,6.58176,-329.89175
2148,6.58176,-329.89175
2149,6.58176,-329.89175
2150,6.58176,-329.89175
2151,5.96472,-330.54373
2152,6.78744,-333.15155
2153,6.78744,-333.15155
2154,4.52496,-326.63196
2155,4.52496,-326.63196
2156,4.1136,-327.2839
2157,4.1136,-327.2839
2158,4.1136,-327.2839
2159,4.1136,-327.2839
2160,6.99312,-328.58783
2161,6.99312,-328.58783
2162,8.94708,-324.6761
2163,8.94708,-324.6761
2164,8.94708,-324.6761
2165,9.66696,-322.06824
2166,9.66696,-329.2398
2167,9.66696,-329.2398
2168,7.09596,-324.0241
2169,7.09596,-324.0241
2170,7.09596,-324.6761
2171,8.33004,-325.98
2172,6.27324,-324.0241
2173,6.27324,-324.0241
2174,6.27324,-324.0241
2175,4.42212,-322.06824
